# mostly taken from http://www.dot.gov.in/numbering_plan/nnp2003.pdf
# and http://en.wikipedia.org/wiki/Telephone_numbers_in_India

^+	plus
^00	idd
^0.	trunk

^9	cell

^1800	service

^100	emergency	police
^101	emergency	fire
^102	emergency	medical
^1298	emergency	medical
^103	emergency	traffic
^104	emergency	medical
^108	emergency	medical
^112	emergency	local emergency number

^2	local
^3	local
^4	local
^5	local
^6	local
^7	none	invalid
^8	none	invalid

9	cell

10	cic	Carrier Selection
11	area	New Delhi	New Delhi, New Delhi
120	area	Ghaziabad+Dadri	Ghaziabad+Dadri, Ghaziabad
121	area	Meerut	Meerut, Meerut
122	area	Hapur	Hapur, Ghaziabad
1232	area	Modinagar	Modinagar, Ghaziabad
1233	area	Mawana	Mawana, Meerut
1234	area	Baghpat	Baghpat-II (Baraut), Meerut
1237	area	Sardhana	Sardhana, Meerut
124	area	Gurgaon	Gurgaon, Gurgaon
1250	area	Charkhidadri	Charkhidadri, Rohtak
1251	area	Jhajjar	Jhajjar, Rohtak
1252	area	Loharu	Loharu, Rohtak
1253	area	Tohsham	Tohsham, Rohtak
1254	area	Bawanikhera	Bawanikhera, Rohtak
1255	area	Siwani	Siwani, Rohtak
1257	area	Meham	Meham, Rohtak
1258	area	Kalanaur	Kalanaur, Rohtak
1259	area	Kosli	Kosli, Narnaul
1262	area	Rohtak	Rohtak, Rohtak
1263	area	Gohana	Gohana, Sonipat
1267	area	Nuh	Nuh, Gurgaon
1268	area	Ferojpur	Ferojpur, Gurgaon
1274	area	Rewari	Rewari, Narnaul
1275	area	Palwal	Palwal, Gurgaon
1276	area	Bahadurgarh	Bahadurgarh, Rohtak
1281	area	Jatusana	Jatusana, Narnaul
1282	area	Narnaul	Narnaul, Narnaul
1284	area	Bawal	Bawal, Narnaul
1285	area	Mohindergarh	Mohindergarh, Narnaul
129	area	Faridabad	Faridabad, Gurgaon
130	area	Sonipat	Sonipat, Sonipat
131	area	Muzaffar Nagar	Muzaffar Nagar, Muzaffarnagar
132	area	Saharanpur	Saharanpur, Saharanpur
1331	area	Nakur	Nakur (Gangoh), Saharanpur
1332	area	Roorkee	Roorkee-I, Saharanpur
1334	area	Roorkee	Roorkee-II (Hardwar), Saharanpur
1336	area	Deoband	Deoband, Saharanpur
1341	area	Najibabad	Najibabad, Bijnore
1342	area	Bijnore	Bijnore-I, Bijnore
1343	area	Nagina	Nagina, Bijnore
1344	area	Dhampur	Dhampur, Bijnore
1345	area	Bijnore	Bijnore-II (Chandpur), Bijnore
1346	area	Pauri	Pauri-II (Bubakhal), Kotdwara
1348	area	Lansdown	Lansdown-III (Syunsi), Kotdwara
135	area	Dehradun	Dehradun, Dehradun
1360	area	Chakrata	Chakrata (Dakpather), Dehradun
1363	area	Karan Prayag	Karan Prayag, Kotdwara
1364	area	Ukhimath	Ukhimath (Guptkashi), Kotdwara
